company,year,new_hires,layoffs,net_change,hiring_rate_pct,attrition_rate_pct,gdp_growth_us_pct,unemployment_rate_us_pct
Shopify,2015,563,13,550,125.1,2.9,2.9,5.3
Shopify,2016,930,30,900,93.0,3.0,1.6,4.9
Shopify,2017,1657,57,1600,87.2,3.0,2.4,4.4
Shopify,2018,1605,105,1500,45.9,3.0,2.9,3.9
Shopify,2019,150,150,0,3.0,3.0,2.3,3.7
Shopify,2020,2150,150,2000,43.0,3.0,-2.8,8.1
Shopify,2021,3210,210,3000,45.9,3.0,5.8,5.4
Shopify,2022,2200,600,1600,22.0,6.0,1.9,3.6
Shopify,2023,0,1600,-1600,0.0,13.8,2.5,3.7
Shopify,2024,800,300,500,8.0,3.0,2.8,4.1
Shopify,2025,815,315,500,7.8,3.0,2.3,4.2
Snap,2012,5,0,5,20.0,0.0,2.3,8.1
Snap,2013,70,0,70,233.3,0.0,1.8,7.4
Snap,2014,233,3,230,233.0,3.0,2.5,6.2
Snap,2015,494,9,485,149.7,2.7,2.9,5.3
Snap,2016,1068,24,1044,131.0,2.9,1.6,4.9
Snap,2017,1265,55,1210,68.0,3.0,2.4,4.4
Snap,2018,123,92,31,4.0,3.0,2.9,3.9
Snap,2019,856,93,763,27.6,3.0,2.3,3.7
Snap,2020,1204,115,1089,31.2,3.0,-2.8,8.1
Snap,2021,1642,148,1494,33.2,3.0,5.8,5.4
Snap,2022,386,386,0,6.0,6.0,1.9,3.6
Snap,2023,0,785,-785,0.0,12.2,2.5,3.7
Snap,2024,8,169,-161,0.1,3.0,2.8,4.1
Snap,2025,265,165,100,4.8,3.0,2.3,4.2
Stripe,2011,2,0,2,25.0,0.0,1.6,8.9
Stripe,2012,30,0,30,300.0,0.0,2.3,8.1
Stripe,2013,61,1,60,152.5,2.5,1.8,7.4
Stripe,2014,153,3,150,153.0,3.0,2.5,6.2
Stripe,2015,257,7,250,102.8,2.8,2.9,5.3
Stripe,2016,315,15,300,63.0,3.0,1.6,4.9
Stripe,2017,724,24,700,90.5,3.0,2.4,4.4
Stripe,2018,545,45,500,36.3,3.0,2.9,3.9
Stripe,2019,860,60,800,43.0,3.0,2.3,3.7
Stripe,2020,1084,84,1000,38.7,3.0,-2.8,8.1
Stripe,2021,3314,114,3200,87.2,3.0,5.8,5.4
Stripe,2022,1420,420,1000,20.3,6.0,1.9,3.6
Stripe,2023,0,600,-600,0.0,7.5,2.5,3.7
Stripe,2024,822,222,600,11.1,3.0,2.8,4.1
Stripe,2025,740,240,500,9.2,3.0,2.3,4.2
Tesla,2004,9,1,8,21.4,2.4,3.8,5.5
Tesla,2005,101,1,100,202.0,2.0,3.5,5.1
Tesla,2006,104,4,100,69.3,2.7,2.8,4.6
Tesla,2007,107,7,100,42.8,2.8,2.0,4.6
Tesla,2008,178,28,150,50.9,8.0,0.1,5.8
Tesla,2009,54,40,14,10.8,8.0,-2.6,9.3
Tesla,2010,400,15,385,77.8,2.9,2.7,9.6
Tesla,2011,544,26,518,60.5,2.9,1.6,8.9
Tesla,2012,1589,42,1547,112.1,3.0,2.3,8.1
Tesla,2013,2983,88,2895,100.6,3.0,1.8,7.4
Tesla,2014,4477,175,4302,76.4,3.0,2.5,6.2
Tesla,2015,3201,304,2897,31.5,3.0,2.9,5.3
Tesla,2016,5115,391,4724,39.2,3.0,1.6,4.9
Tesla,2017,20294,533,19761,114.1,3.0,2.4,4.4
Tesla,2018,12400,1126,11274,33.0,3.0,2.9,3.9
Tesla,2019,663,1464,-801,1.4,3.0,2.3,3.7
Tesla,2020,24181,1440,22741,50.4,3.0,-2.8,8.1
Tesla,2021,30655,2122,28533,43.3,3.0,5.8,5.4
Tesla,2022,34522,5957,28565,34.8,6.0,1.9,3.6
Tesla,2023,20289,7671,12618,15.9,6.0,2.5,3.7
Tesla,2024,4214,4214,0,3.0,3.0,2.8,4.1
Tesla,2025,1741,4214,-2473,1.2,3.0,2.3,4.2
Uber,2010,2,0,2,25.0,0.0,2.7,9.6
Uber,2011,40,0,40,400.0,0.0,1.6,8.9
Uber,2012,151,1,150,302.0,2.0,2.3,8.1
Uber,2013,306,6,300,153.0,3.0,1.8,7.4
Uber,2014,1515,15,1500,303.0,3.0,2.5,6.2
Uber,2015,4760,60,4700,238.0,3.0,2.9,5.3
Uber,2016,4501,201,4300,67.2,3.0,1.6,4.9
Uber,2017,5330,330,5000,48.5,3.0,2.4,4.4
Uber,2018,6743,480,6263,42.1,3.0,2.9,3.9
Uber,2019,5304,667,4637,23.8,3.0,2.3,3.7
Uber,2020,0,3700,-3700,0.0,13.8,-2.8,8.1
Uber,2021,6796,696,6100,29.3,3.0,5.8,5.4
Uber,2022,4658,1758,2900,15.9,6.0,1.9,3.6
Uber,2023,1932,1932,0,6.0,6.0,2.5,3.7
Uber,2024,2266,966,1300,7.0,3.0,2.8,4.1
Uber,2025,2005,1005,1000,6.0,3.0,2.3,4.2
X (Twitter),2006,2,0,2,25.0,0.0,2.8,4.6
X (Twitter),2007,10,0,10,100.0,0.0,2.0,4.6
X (Twitter),2008,31,1,30,155.0,5.0,0.1,5.8
X (Twitter),2009,104,4,100,208.0,8.0,-2.6,9.3
X (Twitter),2010,154,4,150,102.7,2.7,2.7,9.6
X (Twitter),2011,309,9,300,103.0,3.0,1.6,8.9
X (Twitter),2012,318,18,300,53.0,3.0,2.3,8.1
X (Twitter),2013,1427,27,1400,158.6,3.0,1.8,7.4
X (Twitter),2014,1069,69,1000,46.5,3.0,2.5,6.2
X (Twitter),2015,699,99,600,21.2,3.0,2.9,5.3
X (Twitter),2016,0,317,-317,0.0,8.1,1.6,4.9
X (Twitter),2017,0,383,-383,0.0,10.7,2.4,4.4
X (Twitter),2018,796,96,700,24.9,3.0,2.9,3.9
X (Twitter),2019,1117,117,1000,28.6,3.0,2.3,3.7
X (Twitter),2020,1047,147,900,21.4,3.0,-2.8,8.1
X (Twitter),2021,1874,174,1700,32.3,3.0,5.8,5.4
X (Twitter),2022,950,450,500,12.7,6.0,1.9,3.6
X (Twitter),2023,0,6500,-6500,0.0,81.2,2.5,3.7
X (Twitter),2024,145,45,100,9.7,3.0,2.8,4.1
X (Twitter),2025,148,48,100,9.2,3.0,2.3,4.2
